trip_index,stop_sequence,stop_name,time,timestamp
1,1,CS Centrumzijde,06:33,063300
1,2,Vredenburg,06:35,063500
1,3,Neude,06:36,063600
1,4,Janskerkhof,06:37,063700
1,5,Domplein,06:38,063800
1,6,Catharijneconvent,06:39,063900
1,7,Universiteitsmuseum,06:41,064100
1,8,Centraal Museum,06:42,064200
1,9,Tolsteegbrug,06:43,064300
1,10,Hoogh Boulandt,06:44,064400
1,11,Nicolaas Beetsstraat,06:45,064500
1,12,Hoog Catharijne,06:48,064800
1,13,CS Centrumzijde,06:52,065200
2,1,CS Centrumzijde,07:03,070300
2,2,Vredenburg,07:05,070500
2,3,Neude,07:06,070600
2,4,Janskerkhof,07:07,070700
2,5,Domplein,07:08,070800
2,6,Catharijneconvent,07:09,070900
2,7,Universiteitsmuseum,07:11,071100
2,8,Centraal Museum,07:12,071200
2,9,Tolsteegbrug,07:13,071300
2,10,Hoogh Boulandt,07:14,071400
2,11,Nicolaas Beetsstraat,07:15,071500
2,12,Hoog Catharijne,07:18,071800
2,13,CS Centrumzijde,07:22,072200
3,1,CS Centrumzijde,07:33,073300
3,2,Vredenburg,07:35,073500
3,3,Neude,07:36,073600
3,4,Janskerkhof,07:37,073700
3,5,Domplein,07:38,073800
3,6,Catharijneconvent,07:39,073900
3,7,Universiteitsmuseum,07:41,074100
3,8,Centraal Museum,07:42,074200
3,9,Tolsteegbrug,07:43,074300
3,10,Hoogh Boulandt,07:44,074400
3,11,Nicolaas Beetsstraat,07:45,074500
3,12,Hoog Catharijne,07:48,074800
3,13,CS Centrumzijde,07:52,075200
4,1,CS Centrumzijde,08:03,080300
4,2,Vredenburg,08:05,080500
4,3,Neude,08:07,080700
4,4,Janskerkhof,08:09,080900
4,5,Domplein,08:10,081000
4,6,Catharijneconvent,08:11,081100
4,7,Universiteitsmuseum,08:13,081300
4,8,Centraal Museum,08:14,081400
4,9,Tolsteegbrug,08:15,081500
4,10,Hoogh Boulandt,08:18,081800
4,11,Nicolaas Beetsstraat,08:19,081900
4,12,Hoog Catharijne,08:22,082200
4,13,CS Centrumzijde,08:26,082600
5,1,CS Centrumzijde,08:33,083300
5,2,Vredenburg,08:35,083500
5,3,Neude,08:37,083700
5,4,Janskerkhof,08:39,083900
5,5,Domplein,08:40,084000
5,6,Catharijneconvent,08:41,084100
5,7,Universiteitsmuseum,08:43,084300
5,8,Centraal Museum,08:44,084400
5,9,Tolsteegbrug,08:45,084500
5,10,Hoogh Boulandt,08:48,084800
5,11,Nicolaas Beetsstraat,08:49,084900
5,12,Hoog Catharijne,08:52,085200
5,13,CS Centrumzijde,08:56,085600
6,1,CS Centrumzijde,09:03,090300
6,2,Vredenburg,09:05,090500
6,3,Neude,09:07,090700
6,4,Janskerkhof,09:09,090900
6,5,Domplein,09:10,091000
6,6,Catharijneconvent,09:11,091100
6,7,Universiteitsmuseum,09:13,091300
6,8,Centraal Museum,09:14,091400
