trip_index,stop_sequence,stop_name,time,timestamp
1,1,Station Terwijde,06:06,060600
1,2,Het Zand,06:08,060800
1,3,Tweede Westerparklaan,06:09,060900
1,4,De Woerd,06:11,061100
1,5,Kreekraklaan,06:12,061200
1,6,Klifrakplantsoen,06:13,061300
1,7,Archeologiepark,06:14,061400
1,8,Burgemeester Verderlaan,06:15,061500
1,9,Dafne Schippersbrug,06:16,061600
1,10,24 Oktoberplein,06:20,062000
1,11,Overste den Oudenlaan,06:22,062200
1,12,Graadt van Roggenweg,06:23,062300
1,13,CS Jaarbeurszijde,06:25,062500
1,14,CS Jaarbeurszijde,06:28,062800
1,15,Sint Jacobsstraat,06:32,063200
1,16,Oudenoord,06:34,063400
1,17,David van Mollemstraat,06:35,063500
1,18,Nijenoord,06:36,063600
1,19,Anton Geesinkstraat,06:37,063700
1,20,Loevenhoutsedijk,06:38,063800
1,21,Brailledreef,06:39,063900
1,22,Taagdreef,06:40,064000
1,23,Winkelcentrum Overvecht,06:41,064100
1,24,Theemsdreef,06:42,064200
1,25,Landskroondreef,06:43,064300
1,26,Neckardreef,06:44,064400
1,27,Oderdreef,06:46,064600
1,28,Atlasdreef,06:47,064700
1,29,Donaudreef,06:48,064800
1,30,Berezinadreef,06:49,064900
1,31,Station Overvecht,06:50,065000
2,1,CS Jaarbeurszijde,06:13,061300
2,2,Sint Jacobsstraat,06:17,061700
2,3,Oudenoord,06:19,061900
2,4,David van Mollemstraat,06:20,062000
2,5,Nijenoord,06:21,062100
2,6,Anton Geesinkstraat,06:22,062200
2,7,Loevenhoutsedijk,06:23,062300
2,8,Brailledreef,06:24,062400
2,9,Taagdreef,06:25,062500
2,10,Winkelcentrum Overvecht,06:26,062600
2,11,Theemsdreef,06:27,062700
2,12,Landskroondreef,06:28,062800
2,13,Neckardreef,06:29,062900
2,14,Oderdreef,06:31,063100
2,15,Atlasdreef,06:32,063200
2,16,Donaudreef,06:33,063300
2,17,Berezinadreef,06:34,063400
2,18,Station Overvecht,06:35,063500
3,1,Station Terwijde,06:21,062100
3,2,Het Zand,06:23,062300
3,3,Tweede Westerparklaan,06:24,062400
3,4,De Woerd,06:26,062600
3,5,Kreekraklaan,06:27,062700
3,6,Klifrakplantsoen,06:28,062800
3,7,Archeologiepark,06:29,062900
3,8,Burgemeester Verderlaan,06:30,063000
3,9,Dafne Schippersbrug,06:31,063100
3,10,24 Oktoberplein,06:35,063500
3,11,Overste den Oudenlaan,06:37,063700
3,12,Graadt van Roggenweg,06:38,063800
3,13,CS Jaarbeurszijde,06:40,064000
3,14,CS Jaarbeurszijde,06:43,064300
3,15,Sint Jacobsstraat,06:47,064700
3,16,Oudenoord,06:49,064900
3,17,David van Mollemstraat,06:50,065000
3,18,Nijenoord,06:51,065100
3,19,Anton Geesinkstraat,06:52,065200
3,20,Loevenhoutsedijk,06:53,065300
3,21,Brailledreef,06:54,065400
3,22,Taagdreef,06:55,065500
3,23,Winkelcentrum Overvecht,06:56,065600
3,24,Theemsdreef,06:57,065700
3,25,Landskroondreef,06:58,065800
3,26,Neckardreef,06:59,065900
3,27,Oderdreef,07:01,070100
3,28,Atlasdreef,07:02,070200
3,29,Donaudreef,07:03,070300
3,30,Berezinadreef,07:04,070400
3,31,Station Overvecht,07:05,070500
4,1,Station Terwijde,06:36,063600
4,2,Het Zand,06:38,063800
4,3,Tweede Westerparklaan,06:39,063900
4,4,De Woerd,06:41,064100
4,5,Kreekraklaan,06:42,064200
4,6,Klifrakplantsoen,06:43,064300
4,7,Archeologiepark,06:44,064400
4,8,Burgemeester Verderlaan,06:45,064500
4,9,Dafne Schippersbrug,06:46,064600
4,10,24 Oktoberplein,06:50,065000
4,11,Overste den Oudenlaan,06:52,065200
4,12,Graadt van Roggenweg,06:53,065300
4,13,CS Jaarbeurszijde,06:55,065500
4,14,CS Jaarbeurszijde,06:58,065800
4,15,Sint Jacobsstraat,07:02,070200
