trip_index,stop_sequence,stop_name,time,timestamp
1,1,CS Centrumzijde,06:33,063300
1,2,Vredenburg,06:35,063500
1,3,Neude,06:36,063600
1,4,Janskerkhof,06:37,063700
1,5,Domplein,06:38,063800
1,6,Catharijneconvent,06:39,063900
1,7,Universiteitsmuseum,06:41,064100
1,8,Centraal Museum,06:42,064200
1,9,Tolsteegbrug,06:43,064300
1,10,Hoogh Boulandt,06:44,064400
1,11,Nicolaas Beetsstraat,06:45,064500
1,12,Hoog Catharijne,06:48,064800
1,13,CS Centrumzijde,06:52,065200
2,1,CS Centrumzijde,06:33,063300
2,2,Vredenburg,06:35,063500
2,3,Neude,06:36,063600
2,4,Janskerkhof,06:37,063700
2,5,Domplein,06:38,063800
2,6,Catharijneconvent,06:39,063900
2,7,Universiteitsmuseum,06:41,064100
2,8,Centraal Museum,06:42,064200
2,9,Tolsteegbrug,06:43,064300
2,10,CS Centrumzijde,06:52,065200
3,1,CS Centrumzijde,07:03,070300
3,2,Vredenburg,07:05,070500
3,3,Neude,07:06,070600
3,4,Janskerkhof,07:07,070700
3,5,Domplein,07:08,070800
3,6,Catharijneconvent,07:09,070900
3,7,Universiteitsmuseum,07:11,071100
3,8,Centraal Museum,07:12,071200
3,9,Tolsteegbrug,07:13,071300
3,10,Hoogh Boulandt,07:14,071400
3,11,Nicolaas Beetsstraat,07:15,071500
3,12,Hoog Catharijne,07:18,071800
3,13,CS Centrumzijde,07:22,072200
4,1,CS Centrumzijde,07:03,070300
4,2,Vredenburg,07:05,070500
4,3,Neude,07:06,070600
4,4,Janskerkhof,07:07,070700
4,5,Domplein,07:08,070800
4,6,Catharijneconvent,07:09,070900
4,7,Universiteitsmuseum,07:11,071100
4,8,Centraal Museum,07:12,071200
4,9,Tolsteegbrug,07:13,071300
4,10,CS Centrumzijde,07:22,072200
5,1,CS Centrumzijde,07:33,073300
5,2,Vredenburg,07:35,073500
5,3,Neude,07:36,073600
5,4,Janskerkhof,07:37,073700
5,5,Domplein,07:38,073800
5,6,Catharijneconvent,07:39,073900
5,7,Universiteitsmuseum,07:41,074100
5,8,Centraal Museum,07:42,074200
5,9,Tolsteegbrug,07:43,074300
5,10,Hoogh Boulandt,07:44,074400
5,11,Nicolaas Beetsstraat,07:45,074500
5,12,Hoog Catharijne,07:48,074800
5,13,CS Centrumzijde,07:52,075200
6,1,CS Centrumzijde,07:33,073300
6,2,Vredenburg,07:35,073500
6,3,Neude,07:36,073600
6,4,Janskerkhof,07:37,073700
6,5,Domplein,07:38,073800
6,6,Catharijneconvent,07:39,073900
6,7,Universiteitsmuseum,07:41,074100
6,8,Centraal Museum,07:42,074200
6,9,Tolsteegbrug,07:43,074300
6,10,CS Centrumzijde,07:52,075200
7,1,CS Centrumzijde,08:03,080300
7,2,Vredenburg,08:05,080500
7,3,Neude,08:07,080700
7,4,Janskerkhof,08:09,080900
7,5,Domplein,08:10,081000
