trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Station Terwijde,Station Overvecht,6,6,6,50,44
2,CS Jaarbeurszijde,Station Overvecht,6,13,6,35,22
3,Station Terwijde,Station Overvecht,6,21,7,5,44
4,Station Terwijde,Station Overvecht,6,36,7,20,44
5,Station Terwijde,Station Overvecht,6,49,7,35,46
6,Station Terwijde,Station Overvecht,7,1,7,50,49
7,Station Terwijde,Station Overvecht,7,15,8,5,50
8,Station Terwijde,Station Overvecht,7,30,8,20,50
9,Station Terwijde,Station Overvecht,7,44,8,35,51
10,Station Terwijde,Station Overvecht,7,59,8,51,52
11,Station Terwijde,Station Overvecht,8,15,9,6,51
12,CS Jaarbeurszijde,Taagdreef,8,17,8,31,14
13,Station Terwijde,Station Overvecht,8,31,9,21,50
14,Station Terwijde,Station Overvecht,8,46,9,35,49
15,Station Terwijde,Station Overvecht,9,2,9,50,48
16,Station Terwijde,Station Overvecht,9,17,10,5,48
17,Station Terwijde,Station Overvecht,9,32,10,20,48
18,Station Terwijde,Station Overvecht,9,47,10,35,48
19,Station Terwijde,Station Overvecht,10,2,10,50,48
20,Station Terwijde,Station Overvecht,10,17,11,5,48
21,Station Terwijde,Station Overvecht,10,32,11,20,48
22,Station Terwijde,Station Overvecht,10,47,11,35,48
23,Station Terwijde,Station Overvecht,11,2,11,50,48
24,Station Terwijde,Station Overvecht,11,17,12,5,48
25,Station Terwijde,Station Overvecht,11,30,12,20,50
26,Station Terwijde,Station Overvecht,11,45,12,35,50
27,Station Terwijde,Station Overvecht,12,0,12,50,50
28,Station Terwijde,Station Overvecht,12,15,13,5,50
29,Station Terwijde,Station Overvecht,12,30,13,20,50
30,Station Terwijde,Station Overvecht,12,45,13,35,50
31,Station Terwijde,Station Overvecht,13,0,13,50,50
32,Station Terwijde,Station Overvecht,13,15,14,5,50
33,Station Terwijde,Station Overvecht,13,30,14,20,50
34,Station Terwijde,Station Overvecht,13,45,14,35,50
35,Station Terwijde,Station Overvecht,14,0,14,50,50
36,Station Terwijde,Station Overvecht,14,15,15,5,50
37,Station Terwijde,Station Overvecht,14,30,15,20,50
38,Station Terwijde,Station Overvecht,14,45,15,35,50
39,Station Terwijde,Station Overvecht,15,1,15,51,50
40,Station Terwijde,Station Overvecht,15,16,16,6,50
41,Station Terwijde,Station Overvecht,15,31,16,21,50
42,Station Terwijde,Station Overvecht,15,46,16,36,50
43,Station Terwijde,Station Overvecht,16,1,16,51,50
44,Station Terwijde,Station Overvecht,16,16,17,7,51
45,Station Terwijde,Station Overvecht,16,31,17,23,52
46,Station Terwijde,Station Overvecht,16,46,17,38,52
47,Station Terwijde,Station Overvecht,17,1,17,53,52
48,Station Terwijde,Station Overvecht,17,16,18,8,52
49,Station Terwijde,Station Overvecht,17,31,18,22,51
50,Station Terwijde,Station Overvecht,17,46,18,35,49
51,Station Terwijde,Station Overvecht,18,2,18,50,48
52,Station Terwijde,Station Overvecht,18,18,19,5,47
53,Station Terwijde,CS Jaarbeurszijde,18,33,18,53,20
54,Station Terwijde,Station Overvecht,18,45,19,29,44
55,Station Terwijde,Station Overvecht,19,15,19,59,44
56,Station Terwijde,Station Overvecht,19,45,20,27,42
57,Station Terwijde,Station Overvecht,20,15,20,57,42
58,Station Terwijde,Station Overvecht,20,45,21,27,42
59,Station Terwijde,Station Overvecht,21,15,21,57,42
60,Station Terwijde,Station Overvecht,21,45,22,27,42
61,Station Terwijde,Station Overvecht,22,15,22,57,42
62,Station Terwijde,Station Overvecht,22,45,23,27,42
63,Station Terwijde,Station Overvecht,23,14,23,56,42
64,Station Terwijde,Station Overvecht,23,45,24,27,42
65,Station Terwijde,Station Overvecht,24,15,24,57,42
66,Station Terwijde,Station Overvecht,24,37,25,22,45
