trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,CS Centrumzijde,CS Centrumzijde,6,33,6,52,19
2,CS Centrumzijde,CS Centrumzijde,6,33,6,52,19
3,CS Centrumzijde,CS Centrumzijde,7,3,7,22,19
4,CS Centrumzijde,CS Centrumzijde,7,3,7,22,19
5,CS Centrumzijde,CS Centrumzijde,7,33,7,52,19
6,CS Centrumzijde,CS Centrumzijde,7,33,7,52,19
7,CS Centrumzijde,CS Centrumzijde,8,3,8,26,23
8,CS Centrumzijde,CS Centrumzijde,8,3,8,26,23
9,CS Centrumzijde,CS Centrumzijde,8,33,8,56,23
10,CS Centrumzijde,CS Centrumzijde,8,33,8,56,23
11,CS Centrumzijde,CS Centrumzijde,9,3,9,26,23
12,CS Centrumzijde,CS Centrumzijde,9,3,9,26,23
13,CS Centrumzijde,CS Centrumzijde,9,33,9,56,23
14,CS Centrumzijde,CS Centrumzijde,9,33,9,56,23
15,CS Centrumzijde,CS Centrumzijde,10,3,10,26,23
16,CS Centrumzijde,CS Centrumzijde,10,3,10,26,23
17,CS Centrumzijde,CS Centrumzijde,10,33,10,56,23
18,CS Centrumzijde,CS Centrumzijde,10,33,10,56,23
19,CS Centrumzijde,CS Centrumzijde,11,3,11,26,23
20,CS Centrumzijde,CS Centrumzijde,11,3,11,26,23
21,CS Centrumzijde,CS Centrumzijde,11,33,11,56,23
22,CS Centrumzijde,CS Centrumzijde,11,33,11,56,23
23,CS Centrumzijde,CS Centrumzijde,12,3,12,26,23
24,CS Centrumzijde,CS Centrumzijde,12,3,12,26,23
25,CS Centrumzijde,CS Centrumzijde,12,33,12,56,23
26,CS Centrumzijde,CS Centrumzijde,12,33,12,56,23
27,CS Centrumzijde,CS Centrumzijde,13,3,13,26,23
28,CS Centrumzijde,CS Centrumzijde,13,3,13,26,23
29,CS Centrumzijde,CS Centrumzijde,13,33,13,56,23
30,CS Centrumzijde,CS Centrumzijde,13,33,13,56,23
31,CS Centrumzijde,CS Centrumzijde,14,3,14,26,23
32,CS Centrumzijde,CS Centrumzijde,14,3,14,26,23
33,CS Centrumzijde,CS Centrumzijde,14,33,14,56,23
34,CS Centrumzijde,CS Centrumzijde,14,33,14,56,23
35,CS Centrumzijde,CS Centrumzijde,15,3,15,26,23
36,CS Centrumzijde,CS Centrumzijde,15,3,15,26,23
37,CS Centrumzijde,CS Centrumzijde,15,33,15,56,23
38,CS Centrumzijde,CS Centrumzijde,15,33,15,56,23
39,CS Centrumzijde,CS Centrumzijde,16,3,16,26,23
40,CS Centrumzijde,CS Centrumzijde,16,3,16,26,23
41,CS Centrumzijde,CS Centrumzijde,16,33,16,56,23
42,CS Centrumzijde,CS Centrumzijde,16,33,16,56,23
43,CS Centrumzijde,CS Centrumzijde,17,3,17,26,23
44,CS Centrumzijde,CS Centrumzijde,17,3,17,26,23
45,CS Centrumzijde,CS Centrumzijde,17,33,17,56,23
46,CS Centrumzijde,CS Centrumzijde,17,33,17,56,23
47,CS Centrumzijde,CS Centrumzijde,18,3,18,25,22
48,CS Centrumzijde,CS Centrumzijde,18,3,18,25,22
49,CS Centrumzijde,CS Centrumzijde,18,33,18,54,21
50,CS Centrumzijde,CS Centrumzijde,18,33,18,54,21
51,CS Centrumzijde,CS Centrumzijde,19,3,19,24,21
52,CS Centrumzijde,CS Centrumzijde,19,3,19,24,21
