trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Station Maarssen,Busstation,5,38,6,35,57
2,Station Maarssen,Busstation,5,53,6,50,57
3,Station Maarssen,Busstation,6,8,7,5,57
4,Station Maarssen,Busstation,6,23,7,21,58
5,Station Maarssen,Busstation,6,38,7,36,58
6,Station Maarssen,Busstation,6,48,7,48,60
7,Station Maarssen,Busstation,6,58,8,2,64
8,Station Maarssen,Busstation,7,8,8,13,65
9,Station Maarssen,Busstation,7,18,8,23,65
10,Station Maarssen,Busstation,7,28,8,33,65
11,Station Maarssen,Busstation,7,38,8,43,65
12,Station Maarssen,Busstation,7,48,8,53,65
13,Station Maarssen,Busstation,7,58,9,1,63
14,Station Maarssen,Busstation,8,8,9,11,63
15,Station Maarssen,Busstation,8,18,9,21,63
16,Station Maarssen,Busstation,8,28,9,30,62
17,Station Maarssen,Busstation,8,38,9,39,61
18,Station Maarssen,Busstation,8,48,9,49,61
19,Station Maarssen,Busstation,8,58,9,59,61
20,Station Maarssen,Busstation,9,8,10,9,61
21,Station Maarssen,Busstation,9,18,10,19,61
22,Station Maarssen,Busstation,9,28,10,29,61
23,Station Maarssen,Busstation,9,38,10,39,61
24,Station Maarssen,Busstation,9,48,10,49,61
25,Station Maarssen,Busstation,9,58,10,59,61
26,Station Maarssen,Busstation,10,8,11,9,61
27,Station Maarssen,Busstation,10,18,11,19,61
28,Station Maarssen,Busstation,10,28,11,29,61
29,Station Maarssen,Busstation,10,38,11,39,61
30,Station Maarssen,Busstation,10,48,11,49,61
31,Station Maarssen,Busstation,10,58,11,59,61
32,Station Maarssen,Busstation,11,8,12,9,61
33,Station Maarssen,Busstation,11,18,12,19,61
34,Station Maarssen,Busstation,11,28,12,29,61
35,Station Maarssen,Busstation,11,38,12,39,61
36,Station Maarssen,Busstation,11,48,12,49,61
37,Station Maarssen,Busstation,11,58,12,59,61
38,Station Maarssen,Busstation,12,8,13,10,62
39,Station Maarssen,Busstation,12,18,13,20,62
40,Station Maarssen,Busstation,12,28,13,31,63
41,Station Maarssen,Busstation,12,38,13,41,63
42,Station Maarssen,Busstation,12,48,13,52,64
43,Station Maarssen,Busstation,12,58,14,3,65
44,Station Maarssen,Busstation,13,8,14,13,65
45,Station Maarssen,Busstation,13,18,14,23,65
46,Station Maarssen,Busstation,13,28,14,33,65
47,Station Maarssen,Busstation,13,38,14,43,65
48,Station Maarssen,Busstation,13,48,14,53,65
49,Station Maarssen,Busstation,13,58,15,3,65
50,Station Maarssen,Busstation,14,8,15,13,65
51,Station Maarssen,Busstation,14,18,15,23,65
52,Station Maarssen,Busstation,14,28,15,33,65
53,Station Maarssen,Busstation,14,38,15,43,65
54,Station Maarssen,Busstation,14,48,15,53,65
55,Station Maarssen,Busstation,14,58,16,3,65
56,Station Maarssen,Busstation,15,8,16,13,65
57,Station Maarssen,Busstation,15,18,16,23,65
58,Station Maarssen,Busstation,15,28,16,33,65
59,Station Maarssen,Busstation,15,38,16,43,65
60,Station Maarssen,Busstation,15,48,16,53,65
61,Station Maarssen,Busstation,15,58,17,4,66
62,Station Maarssen,Busstation,16,8,17,15,67
63,Station Maarssen,Busstation,16,18,17,25,67
64,Station Maarssen,Busstation,16,28,17,35,67
65,Station Maarssen,Busstation,16,38,17,45,67
66,Station Maarssen,Busstation,16,48,17,54,66
67,Station Maarssen,Busstation,16,58,18,4,66
68,Station Maarssen,Busstation,17,8,18,13,65
69,Station Maarssen,Busstation,17,18,18,21,63
70,Station Maarssen,Busstation,17,28,18,31,63
71,Station Maarssen,Busstation,17,38,18,41,63
72,Station Maarssen,Busstation,17,53,18,55,62
73,Station Maarssen,Busstation,18,8,19,9,61
74,Station Maarssen,Busstation,18,23,19,24,61
75,Station Maarssen,Busstation,18,38,19,39,61
76,Station Maarssen,Busstation,18,53,19,53,60
77,Station Maarssen,Busstation,19,8,20,7,59
78,Station Maarssen,Busstation,19,23,20,22,59
79,Station Maarssen,Busstation,19,38,20,37,59
80,Station Maarssen,Busstation,19,53,20,52,59
81,Station Maarssen,Busstation,20,8,21,7,59
82,Station Maarssen,Busstation,20,23,21,22,59
83,Station Maarssen,Busstation,20,38,21,37,59
84,Station Maarssen,Busstation,20,53,21,52,59
85,Station Maarssen,Busstation,21,8,22,7,59
86,Station Maarssen,Busstation,21,23,22,20,57
87,Station Maarssen,Busstation,21,38,22,33,55
88,Station Maarssen,Busstation,21,53,22,48,55
89,Station Maarssen,Busstation,22,8,23,3,55
90,Station Maarssen,Busstation,22,23,23,18,55
91,Station Maarssen,Busstation,22,38,23,33,55
92,Station Maarssen,Busstation,22,53,23,48,55
93,Station Maarssen,Busstation,23,8,24,3,55
94,Station Maarssen,Busstation,23,23,24,18,55
95,Station Maarssen,Busstation,23,38,24,33,55
96,Station Maarssen,Busstation,23,53,24,48,55
97,Station Maarssen,Busstation,24,11,25,6,55
98,Station Maarssen,Busstation,24,29,25,27,58
