trip_index,start_hour,start_min,end_hour,end_min,duration_min
1,5,31,5,56,25
2,6,16,6,41,25
3,6,46,7,13,27
4,7,16,7,43,27
5,7,37,8,10,33
6,8,7,8,40,33
7,8,37,9,7,30
8,9,7,9,37,30
9,9,46,10,14,28
10,10,16,10,44,28
11,10,46,11,14,28
12,11,16,11,44,28
13,11,46,12,14,28
14,12,16,12,44,28
15,12,46,13,14,28
16,13,16,13,44,28
17,13,46,14,14,28
18,14,16,14,44,28
19,14,46,15,14,28
20,15,14,15,42,28
21,15,44,16,13,29
22,16,12,16,42,30
23,16,42,17,12,30
24,17,12,17,42,30
25,17,42,18,12,30
26,18,12,18,42,30
27,18,45,19,13,28
28,19,19,19,45,26
29,19,49,20,15,26
30,20,19,20,45,26
31,20,49,21,15,26
32,21,19,21,45,26
33,21,49,22,15,26
34,22,19,22,42,23
35,22,49,23,12,23
36,23,19,23,42,23
37,23,49,24,12,23
