trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Station Vleuten,CS Centrumzijde,5,43,6,11,28
2,CS Centrumzijde,Haltenaam onbekend,6,11,6,36,25
3,Station Vleuten,CS Centrumzijde,5,58,6,26,28
4,CS Centrumzijde,Haltenaam onbekend,6,26,6,51,25
5,Station Vleuten,CS Centrumzijde,6,12,6,40,28
6,CS Centrumzijde,Haltenaam onbekend,6,40,7,6,26
7,Station Vleuten,CS Centrumzijde,6,25,6,54,29
8,CS Centrumzijde,Haltenaam onbekend,6,54,7,21,27
9,Station Vleuten,CS Centrumzijde,6,39,7,9,30
10,CS Centrumzijde,Haltenaam onbekend,7,9,7,36,27
11,Station Vleuten,CS Centrumzijde,6,48,7,19,31
12,CS Centrumzijde,Haltenaam onbekend,7,19,7,46,27
13,Station Vleuten,CS Centrumzijde,6,57,7,29,32
14,CS Centrumzijde,Haltenaam onbekend,7,29,7,56,27
15,Station Vleuten,CS Centrumzijde,7,7,7,39,32
16,CS Centrumzijde,Haltenaam onbekend,7,39,8,6,27
17,Station Vleuten,CS Centrumzijde,7,15,7,47,32
18,CS Centrumzijde,Haltenaam onbekend,7,47,8,14,27
19,Station Vleuten,CS Centrumzijde,7,22,7,54,32
20,CS Centrumzijde,Haltenaam onbekend,7,54,8,21,27
21,Station Vleuten,CS Centrumzijde,7,30,8,2,32
22,CS Centrumzijde,Haltenaam onbekend,8,2,8,29,27
23,Station Vleuten,CS Centrumzijde,7,37,8,9,32
24,CS Centrumzijde,Haltenaam onbekend,8,9,8,36,27
25,Station Vleuten,CS Centrumzijde,7,45,8,17,32
26,CS Centrumzijde,Haltenaam onbekend,8,17,8,44,27
27,Station Vleuten,CS Centrumzijde,7,52,8,24,32
28,CS Centrumzijde,Haltenaam onbekend,8,24,8,51,27
29,Station Vleuten,CS Centrumzijde,8,0,8,32,32
30,CS Centrumzijde,Haltenaam onbekend,8,32,8,59,27
