trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Professor Bavinckstraat,P+R Westraven,5,46,6,26,40
2,Professor Bavinckstraat,P+R Westraven,6,1,6,41,40
3,Professor Bavinckstraat,P+R Westraven,6,16,6,56,40
4,Professor Bavinckstraat,P+R Westraven,6,31,7,12,41
5,Professor Bavinckstraat,P+R Westraven,6,46,7,30,44
6,Professor Bavinckstraat,P+R Westraven,7,1,7,47,46
7,Professor Bavinckstraat,P+R Westraven,7,11,7,57,46
8,Professor Bavinckstraat,P+R Westraven,7,21,8,7,46
9,Professor Bavinckstraat,P+R Westraven,7,31,8,20,49
10,Professor Bavinckstraat,P+R Westraven,7,41,8,30,49
11,Professor Bavinckstraat,P+R Westraven,7,51,8,39,48
12,Professor Bavinckstraat,P+R Westraven,8,1,8,49,48
13,Professor Bavinckstraat,P+R Westraven,8,11,8,59,48
14,Professor Bavinckstraat,P+R Westraven,8,21,9,9,48
15,Professor Bavinckstraat,P+R Westraven,8,31,9,18,47
16,Professor Bavinckstraat,P+R Westraven,8,41,9,28,47
17,Professor Bavinckstraat,P+R Westraven,8,51,9,37,46
18,Professor Bavinckstraat,P+R Westraven,9,1,9,47,46
19,Professor Bavinckstraat,P+R Westraven,9,16,10,2,46
20,Professor Bavinckstraat,P+R Westraven,9,31,10,17,46
21,Professor Bavinckstraat,P+R Westraven,9,46,10,32,46
22,Professor Bavinckstraat,P+R Westraven,10,1,10,47,46
23,Professor Bavinckstraat,P+R Westraven,10,16,11,2,46
24,Professor Bavinckstraat,P+R Westraven,10,31,11,17,46
25,Professor Bavinckstraat,P+R Westraven,10,46,11,32,46
26,Professor Bavinckstraat,P+R Westraven,11,1,11,47,46
27,Professor Bavinckstraat,P+R Westraven,11,16,12,2,46
28,Professor Bavinckstraat,P+R Westraven,11,31,12,17,46
29,Professor Bavinckstraat,P+R Westraven,11,46,12,32,46
30,Professor Bavinckstraat,P+R Westraven,12,1,12,47,46
31,Professor Bavinckstraat,P+R Westraven,12,16,13,2,46
32,Professor Bavinckstraat,P+R Westraven,12,31,13,17,46
33,Professor Bavinckstraat,P+R Westraven,12,46,13,32,46
34,Professor Bavinckstraat,P+R Westraven,13,1,13,47,46
35,Professor Bavinckstraat,P+R Westraven,13,16,14,2,46
36,Professor Bavinckstraat,P+R Westraven,13,31,14,17,46
37,Professor Bavinckstraat,P+R Westraven,13,46,14,32,46
38,Professor Bavinckstraat,P+R Westraven,14,1,14,48,47
39,Professor Bavinckstraat,P+R Westraven,14,16,15,4,48
40,Professor Bavinckstraat,P+R Westraven,14,31,15,19,48
41,Professor Bavinckstraat,P+R Westraven,14,46,15,34,48
42,Professor Bavinckstraat,P+R Westraven,15,1,15,49,48
43,Professor Bavinckstraat,P+R Westraven,15,11,15,59,48
44,Professor Bavinckstraat,P+R Westraven,15,21,16,9,48
45,Professor Bavinckstraat,P+R Westraven,15,31,16,19,48
46,Professor Bavinckstraat,P+R Westraven,15,41,16,29,48
47,Professor Bavinckstraat,P+R Westraven,15,51,16,39,48
48,Professor Bavinckstraat,P+R Westraven,16,1,16,49,48
49,Professor Bavinckstraat,P+R Westraven,16,11,16,59,48
50,Professor Bavinckstraat,P+R Westraven,16,21,17,9,48
51,Professor Bavinckstraat,P+R Westraven,16,31,17,19,48
52,Professor Bavinckstraat,P+R Westraven,16,41,17,29,48
53,Professor Bavinckstraat,P+R Westraven,16,51,17,39,48
54,Professor Bavinckstraat,P+R Westraven,17,1,17,48,47
55,Professor Bavinckstraat,P+R Westraven,17,11,17,58,47
56,Professor Bavinckstraat,P+R Westraven,17,21,18,7,46
57,Professor Bavinckstraat,P+R Westraven,17,31,18,17,46
58,Professor Bavinckstraat,P+R Westraven,17,41,18,27,46
59,Professor Bavinckstraat,P+R Westraven,17,51,18,37,46
60,Professor Bavinckstraat,P+R Westraven,18,1,18,47,46
61,Professor Bavinckstraat,P+R Westraven,18,16,19,0,44
62,Professor Bavinckstraat,P+R Westraven,18,31,19,15,44
63,Professor Bavinckstraat,P+R Westraven,18,46,19,28,42
64,Professor Bavinckstraat,P+R Westraven,19,1,19,43,42
65,Professor Bavinckstraat,P+R Westraven,19,16,19,58,42
66,Professor Bavinckstraat,P+R Westraven,19,31,20,13,42
67,Professor Bavinckstraat,P+R Westraven,19,46,20,28,42
68,Professor Bavinckstraat,P+R Westraven,20,1,20,43,42
69,Professor Bavinckstraat,P+R Westraven,20,16,20,56,40
70,Professor Bavinckstraat,P+R Westraven,20,31,21,11,40
71,Professor Bavinckstraat,P+R Westraven,20,46,21,26,40
72,Professor Bavinckstraat,P+R Westraven,21,1,21,41,40
73,Professor Bavinckstraat,P+R Westraven,21,16,21,56,40
74,Professor Bavinckstraat,P+R Westraven,21,31,22,11,40
75,Professor Bavinckstraat,P+R Westraven,21,46,22,26,40
76,Professor Bavinckstraat,P+R Westraven,22,1,22,41,40
77,Professor Bavinckstraat,P+R Westraven,22,16,22,56,40
78,Professor Bavinckstraat,P+R Westraven,22,31,23,11,40
79,Professor Bavinckstraat,P+R Westraven,22,46,23,25,39
80,Professor Bavinckstraat,P+R Westraven,23,1,23,39,38
81,Professor Bavinckstraat,P+R Westraven,23,16,23,54,38
82,Professor Bavinckstraat,P+R Westraven,23,31,24,9,38
83,Professor Bavinckstraat,P+R Westraven,23,46,24,24,38
84,Professor Bavinckstraat,P+R Westraven,24,1,24,39,38
85,Professor Bavinckstraat,P+R Westraven,24,16,24,54,38
86,Professor Bavinckstraat,P+R Westraven,24,37,25,18,41
