trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,IJsselsteinlaan,Vechtsebanen,6,3,6,44,41
2,IJsselsteinlaan,Vechtsebanen,6,18,6,59,41
3,IJsselsteinlaan,Vechtsebanen,6,32,7,14,42
4,IJsselsteinlaan,Vechtsebanen,6,47,7,29,42
5,IJsselsteinlaan,Vechtsebanen,6,55,7,39,44
6,IJsselsteinlaan,Vechtsebanen,7,2,7,49,47
7,IJsselsteinlaan,Vechtsebanen,7,12,7,59,47
8,IJsselsteinlaan,Vechtsebanen,7,22,8,9,47
9,IJsselsteinlaan,Vechtsebanen,7,30,8,19,49
10,IJsselsteinlaan,Vechtsebanen,7,40,8,29,49
11,IJsselsteinlaan,Vechtsebanen,7,50,8,39,49
12,IJsselsteinlaan,Vechtsebanen,8,0,8,49,49
13,IJsselsteinlaan,Vechtsebanen,8,10,8,59,49
14,IJsselsteinlaan,Vechtsebanen,8,20,9,9,49
15,IJsselsteinlaan,Vechtsebanen,8,30,9,19,49
16,IJsselsteinlaan,Vechtsebanen,8,42,9,29,47
17,IJsselsteinlaan,Vechtsebanen,8,52,9,39,47
18,IJsselsteinlaan,Vechtsebanen,9,2,9,49,47
19,IJsselsteinlaan,Vechtsebanen,9,12,9,59,47
20,IJsselsteinlaan,Vechtsebanen,9,22,10,9,47
21,IJsselsteinlaan,Vechtsebanen,9,32,10,19,47
22,IJsselsteinlaan,Vechtsebanen,9,42,10,29,47
23,IJsselsteinlaan,Vechtsebanen,9,52,10,39,47
24,IJsselsteinlaan,Vechtsebanen,10,2,10,49,47
25,IJsselsteinlaan,Vechtsebanen,10,12,10,59,47
26,IJsselsteinlaan,Vechtsebanen,10,22,11,9,47
27,IJsselsteinlaan,Vechtsebanen,10,32,11,19,47
28,IJsselsteinlaan,Vechtsebanen,10,42,11,29,47
29,IJsselsteinlaan,Vechtsebanen,10,52,11,39,47
30,IJsselsteinlaan,Vechtsebanen,11,2,11,49,47
31,IJsselsteinlaan,Vechtsebanen,11,12,11,59,47
32,IJsselsteinlaan,Vechtsebanen,11,22,12,9,47
33,IJsselsteinlaan,Vechtsebanen,11,32,12,19,47
34,IJsselsteinlaan,Vechtsebanen,11,42,12,29,47
35,IJsselsteinlaan,Vechtsebanen,11,52,12,39,47
36,IJsselsteinlaan,Vechtsebanen,12,2,12,49,47
37,IJsselsteinlaan,Vechtsebanen,12,12,12,59,47
38,IJsselsteinlaan,Vechtsebanen,12,22,13,9,47
39,IJsselsteinlaan,Vechtsebanen,12,32,13,19,47
40,IJsselsteinlaan,Vechtsebanen,12,42,13,29,47
41,IJsselsteinlaan,Vechtsebanen,12,52,13,39,47
42,IJsselsteinlaan,Vechtsebanen,13,2,13,49,47
43,IJsselsteinlaan,Vechtsebanen,13,12,13,59,47
44,IJsselsteinlaan,Vechtsebanen,13,22,14,9,47
45,IJsselsteinlaan,Vechtsebanen,13,32,14,19,47
46,IJsselsteinlaan,Vechtsebanen,13,42,14,29,47
47,IJsselsteinlaan,Vechtsebanen,13,52,14,39,47
48,IJsselsteinlaan,Vechtsebanen,14,2,14,49,47
49,IJsselsteinlaan,Vechtsebanen,14,12,14,59,47
50,IJsselsteinlaan,Vechtsebanen,14,22,15,9,47
51,IJsselsteinlaan,Vechtsebanen,14,32,15,19,47
52,IJsselsteinlaan,Vechtsebanen,14,42,15,29,47
53,IJsselsteinlaan,Vechtsebanen,14,52,15,39,47
54,IJsselsteinlaan,Vechtsebanen,15,2,15,49,47
55,IJsselsteinlaan,Vechtsebanen,15,12,15,59,47
56,IJsselsteinlaan,Vechtsebanen,15,22,16,9,47
57,IJsselsteinlaan,Vechtsebanen,15,32,16,19,47
58,IJsselsteinlaan,Vechtsebanen,15,42,16,29,47
59,IJsselsteinlaan,Vechtsebanen,15,52,16,39,47
60,IJsselsteinlaan,Vechtsebanen,16,2,16,49,47
61,IJsselsteinlaan,Vechtsebanen,16,12,16,59,47
62,IJsselsteinlaan,Vechtsebanen,16,22,17,9,47
63,IJsselsteinlaan,Vechtsebanen,16,32,17,19,47
64,IJsselsteinlaan,Vechtsebanen,16,42,17,29,47
