trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,P+R Science Park,CS Centrumzijde,5,53,6,16,23
2,CS Centrumzijde,Station Vleuten,6,16,6,47,31
3,P+R Science Park,CS Centrumzijde,6,8,6,31,23
4,CS Centrumzijde,Station Vleuten,6,31,7,3,32
5,P+R Science Park,CS Centrumzijde,6,23,6,48,25
6,CS Centrumzijde,Station Vleuten,6,48,7,20,32
7,P+R Science Park,CS Centrumzijde,6,38,7,4,26
8,CS Centrumzijde,Station Vleuten,7,4,7,36,32
9,P+R Science Park,CS Centrumzijde,6,53,7,20,27
10,CS Centrumzijde,Station Vleuten,7,20,7,52,32
11,P+R Science Park,CS Centrumzijde,7,8,7,35,27
12,CS Centrumzijde,Station Vleuten,7,35,8,7,32
13,P+R Science Park,CS Centrumzijde,7,18,7,45,27
14,CS Centrumzijde,Station Vleuten,7,45,8,17,32
15,P+R Science Park,CS Centrumzijde,7,28,7,55,27
16,CS Centrumzijde,Station Vleuten,7,55,8,26,31
17,P+R Science Park,CS Centrumzijde,7,38,8,5,27
18,CS Centrumzijde,Station Vleuten,8,5,8,36,31
19,P+R Science Park,CS Centrumzijde,7,48,8,15,27
20,CS Centrumzijde,Station Vleuten,8,15,8,45,30
21,P+R Science Park,CS Centrumzijde,7,58,8,25,27
22,CS Centrumzijde,Station Vleuten,8,25,8,55,30
23,P+R Science Park,CS Centrumzijde,8,8,8,35,27
24,CS Centrumzijde,Station Vleuten,8,35,9,5,30
25,P+R Science Park,CS Centrumzijde,8,18,8,45,27
26,CS Centrumzijde,Station Vleuten,8,45,9,15,30
27,P+R Science Park,CS Centrumzijde,8,28,8,55,27
28,CS Centrumzijde,Station Vleuten,8,55,9,25,30
29,P+R Science Park,CS Centrumzijde,8,38,9,5,27
30,CS Centrumzijde,Station Vleuten,9,5,9,35,30
31,P+R Science Park,CS Centrumzijde,8,48,9,15,27
32,CS Centrumzijde,Station Vleuten,9,15,9,45,30
33,P+R Science Park,CS Centrumzijde,8,58,9,25,27
34,CS Centrumzijde,Station Vleuten,9,25,9,55,30
35,P+R Science Park,CS Centrumzijde,9,8,9,35,27
36,CS Centrumzijde,Station Vleuten,9,35,10,5,30
37,P+R Science Park,CS Centrumzijde,9,18,9,45,27
38,CS Centrumzijde,Station Vleuten,9,45,10,15,30
39,P+R Science Park,CS Centrumzijde,9,28,9,55,27
40,CS Centrumzijde,Station Vleuten,9,55,10,25,30
41,P+R Science Park,CS Centrumzijde,9,38,10,5,27
42,CS Centrumzijde,Station Vleuten,10,5,10,35,30
43,P+R Science Park,CS Centrumzijde,9,48,10,15,27
44,CS Centrumzijde,Station Vleuten,10,15,10,45,30
45,P+R Science Park,CS Centrumzijde,9,58,10,25,27
46,CS Centrumzijde,Station Vleuten,10,25,10,55,30
47,P+R Science Park,CS Centrumzijde,10,8,10,35,27
48,CS Centrumzijde,Station Vleuten,10,35,11,5,30
49,P+R Science Park,CS Centrumzijde,10,18,10,45,27
50,CS Centrumzijde,Station Vleuten,10,45,11,15,30
51,P+R Science Park,CS Centrumzijde,10,28,10,55,27
52,CS Centrumzijde,Station Vleuten,10,55,11,25,30
53,P+R Science Park,CS Centrumzijde,10,38,11,5,27
54,CS Centrumzijde,Station Vleuten,11,5,11,35,30
55,P+R Science Park,CS Centrumzijde,10,48,11,15,27
56,CS Centrumzijde,Station Vleuten,11,15,11,45,30
57,P+R Science Park,CS Centrumzijde,10,58,11,25,27
58,CS Centrumzijde,Station Vleuten,11,25,11,55,30
59,P+R Science Park,CS Centrumzijde,11,8,11,35,27
60,CS Centrumzijde,Station Vleuten,11,35,12,5,30
61,P+R Science Park,CS Centrumzijde,11,18,11,45,27
62,CS Centrumzijde,Station Vleuten,11,45,12,16,31
63,P+R Science Park,CS Centrumzijde,11,28,11,55,27
64,CS Centrumzijde,Station Vleuten,11,55,12,27,32
65,P+R Science Park,CS Centrumzijde,11,38,12,5,27
66,CS Centrumzijde,Station Vleuten,12,5,12,37,32
67,P+R Science Park,CS Centrumzijde,11,48,12,15,27
68,CS Centrumzijde,Station Vleuten,12,15,12,47,32
69,P+R Science Park,CS Centrumzijde,11,58,12,25,27
70,CS Centrumzijde,Station Vleuten,12,25,12,57,32
71,P+R Science Park,CS Centrumzijde,12,8,12,35,27
72,CS Centrumzijde,Station Vleuten,12,35,13,7,32
73,P+R Science Park,CS Centrumzijde,12,18,12,45,27
74,CS Centrumzijde,Station Vleuten,12,45,13,17,32
75,P+R Science Park,CS Centrumzijde,12,28,12,55,27
76,CS Centrumzijde,Station Vleuten,12,55,13,27,32
77,P+R Science Park,CS Centrumzijde,12,38,13,5,27
78,CS Centrumzijde,Station Vleuten,13,5,13,37,32
79,P+R Science Park,CS Centrumzijde,12,48,13,15,27
