trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Franciscusdreef,CS Centrumzijde,5,43,6,2,19
2,CS Centrumzijde,CS Centrumzijde,6,8,6,47,39
3,Franciscusdreef,CS Centrumzijde,5,58,6,17,19
4,CS Centrumzijde,CS Centrumzijde,6,23,7,4,41
5,Franciscusdreef,CS Centrumzijde,6,13,6,32,19
6,CS Centrumzijde,CS Centrumzijde,6,38,7,21,43
7,CS Centrumzijde,CS Centrumzijde,6,53,7,39,46
8,CS Centrumzijde,CS Centrumzijde,7,6,7,53,47
9,CS Centrumzijde,CS Centrumzijde,7,16,8,5,49
10,CS Centrumzijde,CS Centrumzijde,7,26,8,15,49
11,CS Centrumzijde,CS Centrumzijde,7,36,8,25,49
12,CS Centrumzijde,CS Centrumzijde,7,46,8,33,47
13,CS Centrumzijde,CS Centrumzijde,7,56,8,41,45
14,CS Centrumzijde,CS Centrumzijde,8,6,8,51,45
15,CS Centrumzijde,CS Centrumzijde,8,16,9,1,45
16,CS Centrumzijde,CS Centrumzijde,8,26,9,11,45
17,CS Centrumzijde,CS Centrumzijde,8,36,9,21,45
18,CS Centrumzijde,CS Centrumzijde,8,46,9,31,45
19,CS Centrumzijde,CS Centrumzijde,8,56,9,41,45
20,CS Centrumzijde,CS Centrumzijde,9,6,9,51,45
21,CS Centrumzijde,CS Centrumzijde,9,16,10,1,45
22,CS Centrumzijde,CS Centrumzijde,9,26,10,11,45
23,CS Centrumzijde,CS Centrumzijde,9,36,10,21,45
24,CS Centrumzijde,CS Centrumzijde,9,46,10,31,45
25,CS Centrumzijde,CS Centrumzijde,9,56,10,41,45
26,CS Centrumzijde,CS Centrumzijde,10,6,10,51,45
27,CS Centrumzijde,CS Centrumzijde,10,16,11,1,45
28,CS Centrumzijde,CS Centrumzijde,10,26,11,11,45
29,CS Centrumzijde,CS Centrumzijde,10,36,11,21,45
30,CS Centrumzijde,CS Centrumzijde,10,46,11,31,45
31,CS Centrumzijde,CS Centrumzijde,10,56,11,42,46
32,CS Centrumzijde,CS Centrumzijde,11,6,11,53,47
33,CS Centrumzijde,CS Centrumzijde,11,16,12,3,47
34,CS Centrumzijde,CS Centrumzijde,11,26,12,13,47
35,CS Centrumzijde,CS Centrumzijde,11,36,12,23,47
36,CS Centrumzijde,CS Centrumzijde,11,46,12,33,47
37,CS Centrumzijde,CS Centrumzijde,11,56,12,43,47
38,CS Centrumzijde,CS Centrumzijde,12,6,12,53,47
39,CS Centrumzijde,CS Centrumzijde,12,16,13,3,47
40,CS Centrumzijde,CS Centrumzijde,12,26,13,13,47
41,CS Centrumzijde,CS Centrumzijde,12,36,13,23,47
42,CS Centrumzijde,CS Centrumzijde,12,46,13,33,47
43,CS Centrumzijde,CS Centrumzijde,12,56,13,43,47
44,CS Centrumzijde,CS Centrumzijde,13,6,13,53,47
45,CS Centrumzijde,CS Centrumzijde,13,16,14,4,48
46,CS Centrumzijde,CS Centrumzijde,13,26,14,15,49
47,CS Centrumzijde,CS Centrumzijde,13,36,14,25,49
48,CS Centrumzijde,CS Centrumzijde,13,46,14,35,49
49,CS Centrumzijde,CS Centrumzijde,13,56,14,45,49
50,CS Centrumzijde,CS Centrumzijde,14,6,14,55,49
51,CS Centrumzijde,CS Centrumzijde,14,16,15,5,49
52,CS Centrumzijde,CS Centrumzijde,14,26,15,15,49
53,CS Centrumzijde,CS Centrumzijde,14,36,15,25,49
54,CS Centrumzijde,CS Centrumzijde,14,46,15,35,49
55,CS Centrumzijde,CS Centrumzijde,14,56,15,45,49
56,CS Centrumzijde,CS Centrumzijde,15,6,15,55,49
57,CS Centrumzijde,CS Centrumzijde,15,16,16,5,49
58,CS Centrumzijde,CS Centrumzijde,15,26,16,15,49
59,CS Centrumzijde,CS Centrumzijde,15,36,16,25,49
60,CS Centrumzijde,CS Centrumzijde,15,46,16,35,49
61,CS Centrumzijde,CS Centrumzijde,15,56,16,45,49
62,CS Centrumzijde,CS Centrumzijde,16,6,16,55,49
63,CS Centrumzijde,CS Centrumzijde,16,16,17,5,49
64,CS Centrumzijde,CS Centrumzijde,16,26,17,15,49
65,CS Centrumzijde,CS Centrumzijde,16,36,17,25,49
66,CS Centrumzijde,CS Centrumzijde,16,46,17,35,49
67,CS Centrumzijde,CS Centrumzijde,16,56,17,45,49
68,CS Centrumzijde,CS Centrumzijde,17,6,17,55,49
69,CS Centrumzijde,CS Centrumzijde,17,16,18,5,49
70,CS Centrumzijde,CS Centrumzijde,17,26,18,15,49
71,CS Centrumzijde,CS Centrumzijde,17,36,18,24,48
72,CS Centrumzijde,CS Centrumzijde,17,46,18,33,47
73,CS Centrumzijde,CS Centrumzijde,17,56,18,43,47
74,CS Centrumzijde,CS Centrumzijde,18,6,18,52,46
75,CS Centrumzijde,CS Centrumzijde,18,16,19,1,45
76,CS Centrumzijde,CS Centrumzijde,18,26,19,11,45
77,CS Centrumzijde,CS Centrumzijde,18,38,19,23,45
78,CS Centrumzijde,CS Centrumzijde,18,53,19,36,43
79,CS Centrumzijde,CS Centrumzijde,19,8,19,51,43
80,CS Centrumzijde,CS Centrumzijde,19,23,20,6,43
81,CS Centrumzijde,CS Centrumzijde,19,38,20,21,43
82,CS Centrumzijde,CS Centrumzijde,19,53,20,36,43
83,CS Centrumzijde,CS Centrumzijde,20,8,20,51,43
84,CS Centrumzijde,CS Centrumzijde,20,23,21,6,43
85,CS Centrumzijde,CS Centrumzijde,20,38,21,19,41
86,CS Centrumzijde,CS Centrumzijde,20,53,21,33,40
87,CS Centrumzijde,CS Centrumzijde,21,8,21,47,39
88,CS Centrumzijde,CS Centrumzijde,21,23,22,2,39
89,CS Centrumzijde,CS Centrumzijde,21,38,22,17,39
90,CS Centrumzijde,CS Centrumzijde,21,53,22,32,39
91,CS Centrumzijde,CS Centrumzijde,22,8,22,47,39
92,CS Centrumzijde,CS Centrumzijde,22,23,23,2,39
93,CS Centrumzijde,CS Centrumzijde,22,38,23,17,39
94,CS Centrumzijde,CS Centrumzijde,22,53,23,29,36
95,CS Centrumzijde,CS Centrumzijde,23,8,23,43,35
96,CS Centrumzijde,CS Centrumzijde,23,23,23,58,35
97,CS Centrumzijde,CS Centrumzijde,23,40,24,15,35
98,CS Centrumzijde,CS Centrumzijde,24,0,24,35,35
99,CS Centrumzijde,CS Centrumzijde,24,20,24,55,35
100,CS Centrumzijde,Klopvaart,24,40,24,58,18
