trip_index,start_hour,start_min,end_hour,end_min,duration_min
1,5,43,6,2,19
2,6,2,5,58,-4
3,6,8,6,47,39
4,6,17,6,13,-4
5,6,23,7,4,41
6,6,32,6,28,-4
7,6,38,7,21,43
8,6,53,7,39,46
9,7,6,7,53,47
10,7,16,8,5,49
11,7,26,8,15,49
12,7,36,8,25,49
13,7,46,8,33,47
14,7,56,8,41,45
15,8,6,8,51,45
16,8,16,9,1,45
17,8,26,9,11,45
18,8,36,9,21,45
19,8,46,9,31,45
20,8,56,9,41,45
21,9,6,9,51,45
22,9,16,10,1,45
23,9,26,10,11,45
24,9,36,10,21,45
25,9,46,10,31,45
26,9,56,10,41,45
27,10,6,10,51,45
28,10,16,11,1,45
29,10,26,11,11,45
30,10,36,11,21,45
31,10,46,11,31,45
32,10,56,11,42,46
33,11,6,11,53,47
34,11,16,12,3,47
35,11,26,12,13,47
36,11,36,12,23,47
37,11,46,12,33,47
38,11,56,12,43,47
39,12,6,12,53,47
40,12,16,13,3,47
41,12,26,13,13,47
42,12,36,13,23,47
43,12,46,13,33,47
44,12,56,13,43,47
45,13,6,13,53,47
46,13,16,14,4,48
47,13,26,14,15,49
48,13,36,14,25,49
49,13,46,14,35,49
50,13,56,14,45,49
51,14,6,14,55,49
52,14,16,15,5,49
53,14,26,15,15,49
54,14,36,15,25,49
55,14,46,15,35,49
56,14,56,15,45,49
57,15,6,15,55,49
58,15,16,16,5,49
59,15,26,16,15,49
60,15,36,16,25,49
61,15,46,16,35,49
62,15,56,16,45,49
63,16,6,16,55,49
64,16,16,17,5,49
65,16,26,17,15,49
66,16,36,17,25,49
67,16,46,17,35,49
68,16,56,17,45,49
69,17,6,17,55,49
70,17,16,18,5,49
71,17,26,18,15,49
72,17,36,18,24,48
73,17,46,18,33,47
74,17,56,18,43,47
75,18,6,18,52,46
76,18,16,19,1,45
77,18,26,19,11,45
78,18,38,19,23,45
79,18,53,19,36,43
80,19,8,19,51,43
81,19,23,20,6,43
82,19,38,20,21,43
83,19,53,20,36,43
84,20,8,20,51,43
85,20,23,21,6,43
86,20,38,21,19,41
87,20,53,21,33,40
88,21,8,21,47,39
89,21,23,22,2,39
90,21,38,22,17,39
91,21,53,22,32,39
92,22,8,22,47,39
93,22,23,23,2,39
94,22,38,23,17,39
95,22,53,23,29,36
96,23,8,23,43,35
97,23,23,23,58,35
98,23,40,24,15,35
99,24,0,24,35,35
100,24,20,24,55,35
101,24,40,24,58,18
102,25,0,25,18,18
