trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Rioolwaterzuivering,David Ben Goerionstraat,5,34,6,18,44
2,Rioolwaterzuivering,David Ben Goerionstraat,6,4,6,48,44
3,Station Maarssen,David Ben Goerionstraat,6,27,7,18,51
4,CS Jaarbeurszijde,David Ben Goerionstraat,6,45,7,3,18
5,Station Maarssen,David Ben Goerionstraat,6,50,7,50,60
6,CS Jaarbeurszijde,David Ben Goerionstraat,7,15,7,34,19
7,Station Maarssen,David Ben Goerionstraat,7,20,8,24,64
8,CS Jaarbeurszijde,David Ben Goerionstraat,7,46,8,7,21
9,Station Maarssen,David Ben Goerionstraat,7,50,8,54,64
10,CS Jaarbeurszijde,David Ben Goerionstraat,8,17,8,39,22
11,Station Maarssen,David Ben Goerionstraat,8,20,9,18,58
12,CS Jaarbeurszijde,Hengeveldstraat,8,24,8,38,14
13,CS Jaarbeurszijde,David Ben Goerionstraat,8,44,9,6,22
14,Station Maarssen,David Ben Goerionstraat,8,50,9,46,56
15,CS Jaarbeurszijde,David Ben Goerionstraat,9,11,9,31,20
16,Station Maarssen,David Ben Goerionstraat,9,20,10,16,56
17,CS Jaarbeurszijde,David Ben Goerionstraat,9,41,10,1,20
18,Station Maarssen,David Ben Goerionstraat,9,50,10,46,56
19,CS Jaarbeurszijde,David Ben Goerionstraat,10,11,10,31,20
20,Station Maarssen,David Ben Goerionstraat,10,20,11,16,56
21,CS Jaarbeurszijde,David Ben Goerionstraat,10,41,11,1,20
22,Station Maarssen,David Ben Goerionstraat,10,50,11,46,56
23,CS Jaarbeurszijde,David Ben Goerionstraat,11,11,11,31,20
24,Station Maarssen,David Ben Goerionstraat,11,20,12,16,56
25,CS Jaarbeurszijde,David Ben Goerionstraat,11,41,12,1,20
26,Station Maarssen,David Ben Goerionstraat,11,50,12,48,58
27,CS Jaarbeurszijde,David Ben Goerionstraat,12,11,12,33,22
28,Station Maarssen,David Ben Goerionstraat,12,20,13,18,58
29,CS Jaarbeurszijde,David Ben Goerionstraat,12,41,13,3,22
30,Station Maarssen,David Ben Goerionstraat,12,50,13,48,58
31,CS Jaarbeurszijde,David Ben Goerionstraat,13,11,13,33,22
32,Station Maarssen,David Ben Goerionstraat,13,20,14,18,58
33,CS Jaarbeurszijde,David Ben Goerionstraat,13,41,14,3,22
34,Station Maarssen,David Ben Goerionstraat,13,50,14,52,62
35,CS Jaarbeurszijde,David Ben Goerionstraat,14,13,14,35,22
36,Station Maarssen,David Ben Goerionstraat,14,22,15,24,62
37,CS Jaarbeurszijde,David Ben Goerionstraat,14,46,15,8,22
38,Station Maarssen,David Ben Goerionstraat,14,52,15,54,62
39,CS Jaarbeurszijde,David Ben Goerionstraat,15,17,15,39,22
40,Station Maarssen,David Ben Goerionstraat,15,22,16,24,62
41,CS Jaarbeurszijde,David Ben Goerionstraat,15,47,16,9,22
42,Station Maarssen,David Ben Goerionstraat,15,52,16,56,64
43,CS Jaarbeurszijde,David Ben Goerionstraat,16,17,16,40,23
44,Station Maarssen,David Ben Goerionstraat,16,22,17,26,64
45,CS Jaarbeurszijde,David Ben Goerionstraat,16,47,17,11,24
46,Station Maarssen,David Ben Goerionstraat,16,52,17,56,64
47,CS Jaarbeurszijde,David Ben Goerionstraat,17,17,17,41,24
48,Station Maarssen,David Ben Goerionstraat,17,22,18,24,62
49,CS Jaarbeurszijde,David Ben Goerionstraat,17,46,18,10,24
50,Station Maarssen,David Ben Goerionstraat,17,50,18,49,59
51,CS Jaarbeurszijde,David Ben Goerionstraat,18,13,18,37,24
52,Station Maarssen,David Ben Goerionstraat,18,20,19,18,58
53,CS Jaarbeurszijde,David Ben Goerionstraat,18,41,19,3,22
54,Station Maarssen,David Ben Goerionstraat,18,50,19,45,55
55,Station Maarssen,David Ben Goerionstraat,19,20,20,14,54
56,Walter Kollolaan,David Ben Goerionstraat,20,2,20,47,45
57,Walter Kollolaan,David Ben Goerionstraat,20,32,21,17,45
58,Walter Kollolaan,David Ben Goerionstraat,21,2,21,47,45
59,Walter Kollolaan,David Ben Goerionstraat,21,32,22,17,45
60,Walter Kollolaan,David Ben Goerionstraat,22,2,22,47,45
61,Walter Kollolaan,David Ben Goerionstraat,22,32,23,17,45
62,Walter Kollolaan,David Ben Goerionstraat,23,2,23,45,43
63,Walter Kollolaan,David Ben Goerionstraat,23,32,24,13,41
64,Walter Kollolaan,David Ben Goerionstraat,24,2,24,43,41
65,Walter Kollolaan,David Ben Goerionstraat,24,34,25,18,44
