trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,David Ben Goerionstraat,Station Maarssen,5,49,6,40,51
2,David Ben Goerionstraat,Station Maarssen,6,17,7,10,53
3,David Ben Goerionstraat,CS Jaarbeurszijde,6,30,6,49,19
4,David Ben Goerionstraat,Station Maarssen,6,43,7,40,57
5,David Ben Goerionstraat,CS Jaarbeurszijde,6,57,7,16,19
6,David Ben Goerionstraat,Station Maarssen,7,10,8,10,60
7,David Ben Goerionstraat,CS Jaarbeurszijde,7,24,7,45,21
8,David Ben Goerionstraat,Station Maarssen,7,38,8,40,62
9,David Ben Goerionstraat,CS Jaarbeurszijde,7,53,8,16,23
10,David Ben Goerionstraat,Station Maarssen,8,9,9,10,61
11,David Ben Goerionstraat,CS Jaarbeurszijde,8,25,8,48,23
12,David Ben Goerionstraat,Station Maarssen,8,41,9,40,59
13,David Ben Goerionstraat,CS Jaarbeurszijde,8,56,9,19,23
14,David Ben Goerionstraat,Station Maarssen,9,11,10,10,59
15,David Ben Goerionstraat,CS Jaarbeurszijde,9,26,9,49,23
16,David Ben Goerionstraat,Station Maarssen,9,41,10,40,59
17,David Ben Goerionstraat,CS Jaarbeurszijde,9,56,10,19,23
18,David Ben Goerionstraat,Station Maarssen,10,11,11,10,59
19,David Ben Goerionstraat,CS Jaarbeurszijde,10,26,10,49,23
20,David Ben Goerionstraat,Station Maarssen,10,41,11,40,59
21,David Ben Goerionstraat,CS Jaarbeurszijde,10,56,11,19,23
22,David Ben Goerionstraat,Station Maarssen,11,10,12,10,60
23,David Ben Goerionstraat,CS Jaarbeurszijde,11,24,11,47,23
24,David Ben Goerionstraat,Station Maarssen,11,39,12,40,61
25,David Ben Goerionstraat,CS Jaarbeurszijde,11,54,12,17,23
26,David Ben Goerionstraat,Station Maarssen,12,9,13,10,61
27,David Ben Goerionstraat,CS Jaarbeurszijde,12,24,12,47,23
28,David Ben Goerionstraat,Station Maarssen,12,39,13,40,61
29,David Ben Goerionstraat,CS Jaarbeurszijde,12,54,13,17,23
30,David Ben Goerionstraat,Station Maarssen,13,9,14,10,61
31,David Ben Goerionstraat,CS Jaarbeurszijde,13,24,13,47,23
32,David Ben Goerionstraat,Station Maarssen,13,39,14,40,61
33,David Ben Goerionstraat,CS Jaarbeurszijde,13,54,14,17,23
34,David Ben Goerionstraat,Station Maarssen,14,9,15,10,61
35,David Ben Goerionstraat,CS Jaarbeurszijde,14,24,14,47,23
36,David Ben Goerionstraat,Station Maarssen,14,39,15,40,61
37,David Ben Goerionstraat,CS Jaarbeurszijde,14,53,15,16,23
38,David Ben Goerionstraat,Station Maarssen,15,7,16,10,63
39,David Ben Goerionstraat,CS Jaarbeurszijde,15,21,15,44,23
40,David Ben Goerionstraat,Station Maarssen,15,35,16,40,65
41,David Ben Goerionstraat,CS Jaarbeurszijde,15,50,16,13,23
42,David Ben Goerionstraat,Station Maarssen,16,5,17,10,65
43,David Ben Goerionstraat,CS Jaarbeurszijde,16,20,16,43,23
44,David Ben Goerionstraat,Station Maarssen,16,35,17,40,65
45,David Ben Goerionstraat,CS Jaarbeurszijde,16,50,17,13,23
46,David Ben Goerionstraat,Station Maarssen,17,5,18,10,65
47,David Ben Goerionstraat,CS Jaarbeurszijde,17,21,17,44,23
48,David Ben Goerionstraat,Station Maarssen,17,38,18,40,62
49,David Ben Goerionstraat,CS Jaarbeurszijde,17,54,18,17,23
50,David Ben Goerionstraat,Station Maarssen,18,10,19,10,60
51,David Ben Goerionstraat,CS Jaarbeurszijde,18,24,18,47,23
52,David Ben Goerionstraat,Station Maarssen,18,41,19,40,59
53,David Ben Goerionstraat,Walter Kollolaan,19,9,20,1,52
54,David Ben Goerionstraat,Walter Kollolaan,19,39,20,31,52
55,David Ben Goerionstraat,Walter Kollolaan,20,11,21,1,50
56,David Ben Goerionstraat,Walter Kollolaan,20,43,21,31,48
57,David Ben Goerionstraat,Walter Kollolaan,21,13,22,1,48
58,David Ben Goerionstraat,Walter Kollolaan,21,44,22,31,47
59,David Ben Goerionstraat,Walter Kollolaan,22,15,23,1,46
60,David Ben Goerionstraat,Walter Kollolaan,22,45,23,31,46
61,David Ben Goerionstraat,Walter Kollolaan,23,15,24,1,46
62,David Ben Goerionstraat,Walter Kollolaan,23,45,24,31,46
63,David Ben Goerionstraat,Walter Kollolaan,24,15,24,59,44
64,David Ben Goerionstraat,Walter Kollolaan,24,38,25,25,47
