trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Vechtsebanen,IJsselsteinlaan,5,46,6,25,39
2,Vechtsebanen,IJsselsteinlaan,6,1,6,40,39
3,Vechtsebanen,IJsselsteinlaan,6,16,6,55,39
4,Vechtsebanen,IJsselsteinlaan,6,31,7,11,40
5,Vechtsebanen,IJsselsteinlaan,6,41,7,23,42
6,Vechtsebanen,IJsselsteinlaan,6,51,7,34,43
7,Vechtsebanen,IJsselsteinlaan,7,1,7,45,44
8,Vechtsebanen,IJsselsteinlaan,7,11,7,56,45
9,Vechtsebanen,IJsselsteinlaan,7,21,8,8,47
10,Vechtsebanen,IJsselsteinlaan,7,31,8,19,48
11,Vechtsebanen,IJsselsteinlaan,7,41,8,30,49
12,Vechtsebanen,IJsselsteinlaan,7,51,8,40,49
13,Vechtsebanen,IJsselsteinlaan,8,1,8,50,49
14,Vechtsebanen,IJsselsteinlaan,8,11,8,59,48
15,Vechtsebanen,IJsselsteinlaan,8,21,9,8,47
16,Vechtsebanen,IJsselsteinlaan,8,31,9,17,46
17,Vechtsebanen,IJsselsteinlaan,8,41,9,27,46
18,Vechtsebanen,IJsselsteinlaan,8,51,9,36,45
19,Vechtsebanen,IJsselsteinlaan,9,1,9,46,45
20,Vechtsebanen,IJsselsteinlaan,9,11,9,56,45
21,Vechtsebanen,IJsselsteinlaan,9,21,10,6,45
22,Vechtsebanen,IJsselsteinlaan,9,31,10,16,45
23,Vechtsebanen,IJsselsteinlaan,9,41,10,26,45
24,Vechtsebanen,IJsselsteinlaan,9,51,10,36,45
25,Vechtsebanen,IJsselsteinlaan,10,1,10,46,45
26,Vechtsebanen,IJsselsteinlaan,10,11,10,56,45
27,Vechtsebanen,IJsselsteinlaan,10,21,11,6,45
28,Vechtsebanen,IJsselsteinlaan,10,31,11,16,45
29,Vechtsebanen,IJsselsteinlaan,10,41,11,26,45
30,Vechtsebanen,IJsselsteinlaan,10,51,11,36,45
31,Vechtsebanen,IJsselsteinlaan,11,1,11,46,45
32,Vechtsebanen,IJsselsteinlaan,11,11,11,56,45
33,Vechtsebanen,IJsselsteinlaan,11,21,12,6,45
34,Vechtsebanen,IJsselsteinlaan,11,31,12,16,45
35,Vechtsebanen,IJsselsteinlaan,11,41,12,26,45
36,Vechtsebanen,IJsselsteinlaan,11,51,12,36,45
37,Vechtsebanen,IJsselsteinlaan,12,1,12,50,49
38,Vechtsebanen,IJsselsteinlaan,12,11,13,0,49
39,Vechtsebanen,IJsselsteinlaan,12,21,13,10,49
40,Vechtsebanen,IJsselsteinlaan,12,31,13,20,49
41,Vechtsebanen,IJsselsteinlaan,12,41,13,30,49
42,Vechtsebanen,IJsselsteinlaan,12,51,13,40,49
43,Vechtsebanen,IJsselsteinlaan,13,1,13,50,49
44,Vechtsebanen,IJsselsteinlaan,13,11,14,0,49
45,Vechtsebanen,IJsselsteinlaan,13,21,14,10,49
46,Vechtsebanen,IJsselsteinlaan,13,31,14,20,49
47,Vechtsebanen,IJsselsteinlaan,13,41,14,30,49
48,Vechtsebanen,IJsselsteinlaan,13,51,14,40,49
49,Vechtsebanen,IJsselsteinlaan,14,1,14,50,49
50,Vechtsebanen,IJsselsteinlaan,14,11,15,0,49
51,Vechtsebanen,IJsselsteinlaan,14,21,15,10,49
52,Vechtsebanen,IJsselsteinlaan,14,31,15,20,49
53,Vechtsebanen,IJsselsteinlaan,14,41,15,30,49
54,Vechtsebanen,IJsselsteinlaan,14,51,15,40,49
55,Vechtsebanen,IJsselsteinlaan,15,1,15,50,49
56,Vechtsebanen,IJsselsteinlaan,15,11,16,0,49
57,Vechtsebanen,IJsselsteinlaan,15,21,16,10,49
58,Vechtsebanen,IJsselsteinlaan,15,31,16,20,49
59,Vechtsebanen,IJsselsteinlaan,15,41,16,32,51
60,Vechtsebanen,IJsselsteinlaan,15,51,16,42,51
61,Vechtsebanen,IJsselsteinlaan,16,1,16,52,51
62,Vechtsebanen,IJsselsteinlaan,16,11,17,2,51
63,Vechtsebanen,IJsselsteinlaan,16,21,17,12,51
64,Vechtsebanen,IJsselsteinlaan,16,31,17,22,51
65,Vechtsebanen,IJsselsteinlaan,16,41,17,32,51
66,Vechtsebanen,IJsselsteinlaan,16,51,17,42,51
67,Vechtsebanen,IJsselsteinlaan,17,1,17,52,51
68,Vechtsebanen,IJsselsteinlaan,17,11,18,2,51
69,Vechtsebanen,IJsselsteinlaan,17,21,18,12,51
70,Vechtsebanen,IJsselsteinlaan,17,31,18,21,50
71,Vechtsebanen,IJsselsteinlaan,17,41,18,30,49
72,Vechtsebanen,IJsselsteinlaan,17,51,18,40,49
73,Vechtsebanen,IJsselsteinlaan,18,1,18,50,49
74,Vechtsebanen,IJsselsteinlaan,18,16,19,1,45
75,Vechtsebanen,IJsselsteinlaan,18,31,19,16,45
76,Vechtsebanen,IJsselsteinlaan,18,46,19,30,44
77,Vechtsebanen,IJsselsteinlaan,19,1,19,44,43
78,Vechtsebanen,IJsselsteinlaan,19,16,19,59,43
79,Vechtsebanen,IJsselsteinlaan,19,31,20,14,43
80,Vechtsebanen,IJsselsteinlaan,19,46,20,29,43
81,Vechtsebanen,IJsselsteinlaan,20,1,20,44,43
82,Vechtsebanen,IJsselsteinlaan,20,16,20,59,43
83,Vechtsebanen,IJsselsteinlaan,20,31,21,13,42
84,Vechtsebanen,IJsselsteinlaan,20,46,21,27,41
85,Vechtsebanen,IJsselsteinlaan,21,1,21,42,41
86,Vechtsebanen,IJsselsteinlaan,21,16,21,57,41
87,Vechtsebanen,IJsselsteinlaan,21,31,22,10,39
88,Vechtsebanen,IJsselsteinlaan,21,46,22,25,39
89,Vechtsebanen,IJsselsteinlaan,22,1,22,40,39
90,Vechtsebanen,IJsselsteinlaan,22,16,22,55,39
91,Vechtsebanen,IJsselsteinlaan,22,31,23,10,39
92,Vechtsebanen,IJsselsteinlaan,22,46,23,25,39
93,Vechtsebanen,IJsselsteinlaan,23,1,23,40,39
94,Vechtsebanen,IJsselsteinlaan,23,16,23,53,37
95,Vechtsebanen,IJsselsteinlaan,23,31,24,6,35
96,Vechtsebanen,IJsselsteinlaan,23,46,24,21,35
97,Vechtsebanen,IJsselsteinlaan,24,1,24,36,35
98,Vechtsebanen,IJsselsteinlaan,24,34,25,12,38
