trip_index,start_stop,end_stop,start_hour,start_min,end_hour,end_min,duration_min
1,Station Bilthoven,Nieuwegein City,5,51,6,50,59
2,Station Bilthoven,Nieuwegein City,6,6,7,5,59
3,Station Bilthoven,Nieuwegein City,6,20,7,22,62
4,Station Bilthoven,Nieuwegein City,6,30,7,33,63
5,Station Bilthoven,Nieuwegein City,6,40,7,43,63
6,Station Bilthoven,Nieuwegein City,6,50,7,53,63
7,Station Bilthoven,Nieuwegein City,6,58,8,3,65
8,Station Bilthoven,Nieuwegein City,7,7,8,12,65
9,Station Bilthoven,Nieuwegein City,7,15,8,21,66
10,Station Bilthoven,Nieuwegein City,7,25,8,31,66
11,Station Bilthoven,Nieuwegein City,7,33,8,41,68
12,Station Bilthoven,Nieuwegein City,7,42,8,51,69
13,Station Bilthoven,Nieuwegein City,7,52,9,1,69
14,Station Bilthoven,Nieuwegein City,8,2,9,11,69
15,Station Bilthoven,Nieuwegein City,8,12,9,21,69
16,Station Bilthoven,Nieuwegein City,8,23,9,31,68
17,Station Bilthoven,Nieuwegein City,8,33,9,41,68
18,Station Bilthoven,Nieuwegein City,8,45,9,51,66
19,Station Bilthoven,Nieuwegein City,8,56,10,1,65
20,Station Bilthoven,Nieuwegein City,9,6,10,11,65
21,Station Bilthoven,Nieuwegein City,9,16,10,21,65
22,Station Bilthoven,Nieuwegein City,9,26,10,31,65
23,Station Bilthoven,Nieuwegein City,9,36,10,41,65
24,Station Bilthoven,Nieuwegein City,9,46,10,51,65
25,Station Bilthoven,Nieuwegein City,9,56,11,1,65
26,Station Bilthoven,Nieuwegein City,10,6,11,11,65
27,Station Bilthoven,Nieuwegein City,10,16,11,21,65
28,Station Bilthoven,Nieuwegein City,10,26,11,31,65
29,Station Bilthoven,Nieuwegein City,10,36,11,41,65
30,Station Bilthoven,Nieuwegein City,10,46,11,51,65
31,Station Bilthoven,Nieuwegein City,10,56,12,1,65
32,Station Bilthoven,Nieuwegein City,11,6,12,11,65
33,Station Bilthoven,Nieuwegein City,11,16,12,21,65
34,Station Bilthoven,Nieuwegein City,11,26,12,31,65
35,Station Bilthoven,Nieuwegein City,11,36,12,41,65
36,Station Bilthoven,Nieuwegein City,11,46,12,51,65
37,Station Bilthoven,Nieuwegein City,11,56,13,1,65
38,Station Bilthoven,Nieuwegein City,12,6,13,11,65
39,Station Bilthoven,Nieuwegein City,12,16,13,21,65
40,Station Bilthoven,Nieuwegein City,12,26,13,32,66
41,Station Bilthoven,Nieuwegein City,12,36,13,43,67
42,Station Bilthoven,Nieuwegein City,12,46,13,53,67
43,Station Bilthoven,Nieuwegein City,12,56,14,3,67
44,Station Bilthoven,Nieuwegein City,13,6,14,13,67
45,Station Bilthoven,Nieuwegein City,13,16,14,23,67
